node,extreme,spl
0,49,2
1,0,1
1,49,1
2,0,1
2,49,2
3,0,1
3,49,2
4,0,2
4,49,2
5,0,2
5,49,3
6,0,2
6,49,3
7,0,3
7,49,3
8,0,3
8,49,4
9,0,3
9,49,4
10,0,4
10,49,3
11,0,4
11,49,3
12,0,4
12,49,4
13,0,4
13,49,2
14,0,3
14,49,3
15,0,3
15,49,4
16,0,3
16,49,3
17,0,2
17,49,4
18,0,2
18,49,4
19,0,3
19,49,4
20,0,1
20,49,3
21,0,2
21,49,3
22,0,3
22,49,3
23,0,2
23,49,3
24,0,3
24,49,2
25,0,3
25,49,2
26,0,3
26,49,3
27,0,3
27,49,1
28,0,4
28,49,2
29,0,4
29,49,3
30,0,4
30,49,2
31,0,4
31,49,3
32,0,4
32,49,3
33,0,3
33,49,3
34,0,3
34,49,4
35,0,3
35,49,4
36,0,2
36,49,4
37,0,3
37,49,4
38,0,2
38,49,4
39,0,1
39,49,3
40,0,3
40,49,3
41,0,2
41,49,3
42,0,2
42,49,3
43,0,3
43,49,2
44,0,3
44,49,2
45,0,3
45,49,2
46,0,3
46,49,1
47,0,3
47,49,1
48,0,3
48,49,1
49,0,2
